"zhongxin"	"zyhy"	"Date"
4.66	4.42	2014-10-29
4.74	4.45	2014-10-30
4.89	4.37	2014-10-31
4.85	4.59	2014-11-03
4.79	4.76	2014-11-04
4.89	4.56	2014-11-05
4.83	4.57	2014-11-06
4.92	4.74	2014-11-07
5.15	5.21	2014-11-10
5.27	5.13	2014-11-11
5.22	5.29	2014-11-12
5.15	5.25	2014-11-13
5.07	5.3	2014-11-14
4.95	5.17	2014-11-17
4.91	5.2	2014-11-18
4.94	5.09	2014-11-19
4.97	4.94	2014-11-20
5.09	5.02	2014-11-21
5.1	5.14	2014-11-24
5.15	5.4	2014-11-25
5.32	5.3	2014-11-26
5.55	5.3	2014-11-27
6.11	5.53	2014-11-28
6.29	5.73	2014-12-01
6.67	5.67	2014-12-02
6.43	5.54	2014-12-03
6.77	5.61	2014-12-04
6.89	5.28	2014-12-05
6.93	5.46	2014-12-08
6.35	5.37	2014-12-09
6.49	5.55	2014-12-10
6.32	6.11	2014-12-11
6.27	5.96	2014-12-12
6.15	6.09	2014-12-15
6.52	6.21	2014-12-16
7.17	6.61	2014-12-17
6.92	7.27	2014-12-18
7.08	8	2014-12-19
7.41	8	2014-12-22
7.06	8	2014-12-23
6.74	8	2014-12-24
6.98	8	2014-12-25
7.33	8	2014-12-26
7.28	8	2014-12-29
8.01	8	2014-12-30
8.14	8	2014-12-31
